Channelid,subscribercount,channelname,total_estimated_revenue,total_views,video_count
UC2GXNqco-k7fwg2SMM6SAzQ,15700000,SVF,66327797.7,663277977,14
UCBhStnvUsWCMvAUj7UGj0Wg,15700000,DRJ Records Movies,117170.4,1171704,1
UCH7nv1A9xIrAifZJNvt7cgA,15600000,ABP MAJHA,2466480,24664800,21
UCvMd32ON30vh2bd-_A5KA1A,15600000,Star Jalsha,84775.7,847757,2
UCd3s7BuoOlu4bRJL6RdGWXw,15500000,Farjana Drawing Academy,2449442.6,24494426,1
UCdfq8-581QVUtVsa8ChVnDQ,15500000,Wish 107.5,1714476.8,17144768,1
UC1tVU8H153ZFO9eRsxdJlhA,15500000,Technology Gyan,1762298.9,17622989,1
UCHLqIOMPk20w-6cFgkA90jw,15500000,Channel 24,16161.7,161617,1
UCpgG0rtKd-CTzStI9w2ibkg,15400000,माशा एंड द बेयर,1525143.3,15251433,1
UCintIUOJEktQBfhEI9XXpuw,15400000,Telugu Filmnagar,9471721,94717210,11
UCMmpLL2ucRHAXbNHiCPyIyg,15400000,ARY News,0,0,1
UC9dfnBWlg5h1Fr5_w8rjZyg,15400000,Heera Gold,25076600.5,250766005,2
UCZMKZS3L9GfhcFkMyBRoVFg,15300000,Kids Land,10863271.4,108632714,7
UCEPL07qzVsOcHd3sMUws65g,15300000,Trakin Tech,21531.5,215315,1
UCnoqvTW4YZExfDeq7_Wmd-w,15300000,ETV Jabardasth,7587134.1,75871341,13
UC64tB97n5xZdqs4qAyTCnpw,15300000,Tappu Parmar Sevasi,2631159.1,26311591,5
UCZFMm1mMw0F81Z37aaEzTUA,15100000,NDTV,269243.6,2692436,11
UCNIwyVMzpPsO8Ong4IBeaQw,15000000,FASH,46909.2,469092,1
UCexFjP5XTqDFrokLWRMtxsg,14900000,Chunnu Munnu Vines,12291270.7,122912707,1
UClQ3NafOy_42dJ0toK3QUKw,14900000,Stay Wild,336092.8,3360928,1
UCicMnWThgzNjUmqpd-nUTXQ,14900000,Neha Kakkar,12715830.8,127158308,1
UC5NE6lZOCLMerHHxH80dABg,14800000,V5 Family Show,18123338.1,181233381,1
UCnYKRFQRndE3Wq1eLRQLfWw,14800000,Kuldeep Singhania Shorts,6050200.9,60502009,1
UCI_OvtzK82eTL8KIRQ8G_EA,14700000,Candy Superstar,15831732.7,158317327,1
UC6ylikHBX9_es8TIf0vmiUQ,14700000,Raj Grover,2616305.4,26163054,1
UCt7_pnSRPKU3bu2GqmgH8gQ,14600000,Wamindia Movies,2890228.8,28902288,2
UC37cflt9I_ER6Z0YQUdJGBw,14600000,90's Gaane,9510126,95101260,1
UCmAPdImtXLGh5E-lTTH4Qmg,14500000,Flowers Comedy,454424.4,4544244,6
UCHcDpS0TXITVs0ZrBSIsEsA,14400000,Lokdhun Punjabi,184938388.4,1849383884,21
UCmyKnNRH0wH-r8I-ceP-dsg,14400000,PuthiyathalaimuraiTV,735086.7,7350867,14
UCvoh9uWVTzo8u3e5eX4lO5A,14400000,Crafts people,964535,9645350,1
UCOxGzd-Wfd6BiP6_YXbDnLA,14300000,imkavy,151075.8,1510758,1
UC9Gjog4enoDWRWTaYuamx1g,14300000,Jass Records,207505078.7,2075050787,17
UCpJ3bf082gbXi-3gRdLcCvQ,14200000,Harish Nayak Dancer,18399587.2,183995872,7
UCKNGMXJHTiGFdZNSo_zs3fQ,14200000,Nirahua Music World,120025490.7,1200254907,7
UCnJjcn5FrgrOEp5_N45ZLEQ,14200000,T-Series Telugu,106393425.7,1063934257,27
UCepBxbSrGZkgjgGJuY04c-Q,14100000,Professor Of How,30515721.6,305157216,6
UCO3J0RQkTAqR3niPfj2wO_g,14100000,TeAm STARS,719067.2,7190672,2
UCLtCejNl8eAg4PO_9lf2TIg,13900000,Anand Audio,83144504.2,831445042,41
UC7Gf2tZ8coTX2ckTPgn62iQ,13800000,Disney Kids,956760.7,9567607,1
UCi3knaWpYcUwwgfDCl50YDg,13800000,Pihubabu,3443013.6,34430136,9
UC3HS6gQ79jjn4xHxogw0HiA,13800000,Magnet Brains,4487756.2,44877562,41
UClfll_TO6FpOPLUg4Aawhlw,13700000,M4 Tech,56775.9,567759,1
